observation_date,CPI,IP,MB,M1,M2
1/1/1970,37.9,39.0743,62.218,206.2,589.6
2/1/1970,38.1,39.0485,62.405,205,586.3
3/1/1970,38.3,38.9978,62.53,205.7,587.3
4/1/1970,38.5,38.8975,63.059,206.7,588.4
5/1/1970,38.6,38.8522,63.458,207.2,591.5
6/1/1970,38.8,38.7265,63.724,207.6,595.2
7/1/1970,38.9,38.8216,64.074,208,599.1
8/1/1970,39,38.7524,64.539,209.9,604.9
9/1/1970,39.2,38.4852,65.164,211.8,611.2
10/1/1970,39.4,37.7154,65.466,212.9,616.4
11/1/1970,39.6,37.487,65.743,213.7,621.1
12/1/1970,39.8,38.3479,66.215,214.4,626.5
1/1/1971,39.9,38.6429,66.652,215.5,632.9
2/1/1971,39.9,38.5692,67.259,217.4,641
3/1/1971,40,38.5274,67.657,218.8,649.9
4/1/1971,40.1,38.7438,67.938,220,658.4
5/1/1971,40.3,38.9404,68.574,222,666.7
6/1/1971,40.5,39.1037,68.972,223.5,673
7/1/1971,40.6,38.9902,69.533,224.9,679.6
8/1/1971,40.7,38.7639,69.89,225.6,685.5
9/1/1971,40.8,39.3939,70.388,226.5,692.5
10/1/1971,40.9,39.6888,70.488,227.2,698.4
11/1/1971,41,39.8572,70.889,227.8,704.6
12/1/1971,41.1,40.3174,71.023,228.3,710.3
1/1/1972,41.2,41.2866,71.548,230.1,717.7
2/1/1972,41.4,41.68,72.325,232.3,725.7
3/1/1972,41.4,41.9758,72.529,234.3,733.5
4/1/1972,41.5,42.4207,72.951,235.6,738.4
5/1/1972,41.6,42.3956,73.345,235.9,743.3
6/1/1972,41.7,42.5178,73.903,236.6,749.7
7/1/1972,41.8,42.5004,74.291,238.8,759.5
8/1/1972,41.9,43.0644,74.847,240.9,768.7
9/1/1972,42.1,43.3948,75.154,243.2,778.3
10/1/1972,42.2,43.9709,75.935,245,786.9
11/1/1972,42.4,44.4866,76.45,246.4,793.9
12/1/1972,42.5,45,77.044,249.2,802.3
1/1/1973,42.7,45.2914,77.932,251.5,810.3
2/1/1973,43,45.9647,78.261,252.2,814.1
3/1/1973,43.4,45.9868,79.095,251.7,815.3
4/1/1973,43.7,45.9274,79.638,252.7,819.7
5/1/1973,43.9,46.2184,79.957,254.9,826.8
6/1/1973,44.2,46.2516,80.382,256.7,833.3
7/1/1973,44.2,46.4427,81.463,257.5,836.5
8/1/1973,45,46.3634,81.581,257.7,838.8
9/1/1973,45.2,46.7782,82.017,257.9,839.3
10/1/1973,45.6,47.0944,82.657,259,842.6
11/1/1973,45.9,47.3422,82.956,261,848.9
12/1/1973,46.3,47.2312,83.477,262.9,855.5
1/1/1974,46.8,46.9002,84.282,263.8,859.7
2/1/1974,47.3,46.7547,85.016,265.3,864.2
3/1/1974,47.8,46.768,85.389,266.7,870.1
4/1/1974,48.1,46.6012,86.46,267.2,872.9
5/1/1974,48.6,46.9779,87.077,267.6,874.6
6/1/1974,49,46.9246,87.645,268.5,877.8
7/1/1974,49.3,46.9465,88.329,269.3,881.4
8/1/1974,49.9,46.4902,88.66,270.1,884.1
9/1/1974,50.6,46.5124,89.357,271,887.9
10/1/1974,51,46.3395,89.947,272.3,893.3
11/1/1974,51.5,44.8159,90.584,273.7,898.6
12/1/1974,51.9,43.2364,91.442,274.2,902.1
1/1/1975,52.3,42.6437,91.047,273.9,906.3
2/1/1975,52.6,41.6572,92.024,275,914.1
3/1/1975,52.8,41.213,92.522,276.4,925
4/1/1975,53,41.2483,92.725,276.2,935.1
5/1/1975,53.1,41.154,92.701,279.2,947.9
6/1/1975,53.5,41.4216,94.533,282.4,963
7/1/1975,54,41.8198,94.297,283.7,975.1
8/1/1975,54.2,42.2548,94.71,284.1,983.1
9/1/1975,54.6,42.7754,95.224,285.7,991.5
10/1/1975,54.9,42.97,95.332,285.4,997.8
11/1/1975,55.3,43.0627,96.17,286.8,1006.9
12/1/1975,55.6,43.5959,96.743,287.1,1016.2
1/1/1976,55.8,44.2338,96.296,288.4,1026.6
2/1/1976,55.9,44.6687,97.394,290.8,1040.3
3/1/1976,56,44.7103,98.253,292.7,1050
4/1/1976,56.1,44.9525,98.848,294.7,1060.8
5/1/1976,56.4,45.1731,99.362,295.9,1072.1
6/1/1976,56.7,45.1831,99.995,296.2,1077.6
7/1/1976,57,45.4519,100.099,297.2,1086.3
8/1/1976,57.3,45.7737,100.935,299,1098.7
9/1/1976,57.6,45.9055,101.347,299.6,1110.8
10/1/1976,57.9,45.922,101.812,302,1125
11/1/1976,58.1,46.6016,102.678,303.6,1138.2
12/1/1976,58.4,47.0857,102.95,306.2,1152
1/1/1977,58.7,46.8261,103.827,308.3,1165.2
2/1/1977,59.3,47.5387,104.246,311.5,1177.6
3/1/1977,59.6,48.1302,105.145,313.9,1188.5
4/1/1977,60,48.578,105.912,316,1199.6
5/1/1977,60.2,48.9881,106.376,317.2,1209
6/1/1977,60.5,49.3428,106.999,318.8,1217.8
7/1/1977,60.8,49.4131,108.215,320.2,1226.7
8/1/1977,61.1,49.4274,108.949,322.3,1237
9/1/1977,61.3,49.6665,109.444,324.5,1246.2
10/1/1977,61.6,49.7589,110.383,326.4,1254
11/1/1977,62,49.8149,110.98,328.6,1262.4
12/1/1977,62.3,49.8936,112.061,330.9,1270.3
1/1/1978,62.7,49.2047,112.896,334.4,1279.7
2/1/1978,63,49.4519,114.053,335.3,1285.5
3/1/1978,63.4,50.392,114.495,337,1292.2
4/1/1978,63.9,51.4438,115.321,339.9,1300.4
5/1/1978,64.5,51.6239,116.465,344.9,1310.5
6/1/1978,65,51.9809,117.484,346.9,1318.5
7/1/1978,65.5,51.9572,118.336,347.6,1324.1
8/1/1978,65.9,52.1531,118.7,349.6,1333.5
9/1/1978,66.5,52.2862,119.661,352.2,1345
10/1/1978,67.1,52.7031,120.706,353.3,1352.3
11/1/1978,67.5,53.1001,121.34,355.4,1359.1
12/1/1978,67.9,53.3889,121.816,357.3,1366
1/1/1979,68.5,53.0435,122.568,358.6,1371.6
2/1/1979,69.2,53.3331,122.828,359.9,1377.8
3/1/1979,69.9,53.4972,123.489,362.5,1387.8
4/1/1979,70.6,52.8947,124.248,368,1402.1
5/1/1979,71.4,53.3176,124.787,369.6,1410.2
6/1/1979,72.2,53.3158,125.714,373.4,1423
7/1/1979,73,53.2432,126.749,377.2,1434.8
8/1/1979,73.7,52.8891,127.707,378.8,1446.6
9/1/1979,74.4,52.9468,128.679,379.3,1454.1
10/1/1979,75.2,53.2382,129.984,380.8,1460.4
11/1/1979,76,53.1886,130.386,380.8,1465.9
12/1/1979,76.9,53.2612,131.347,381.8,1473.7
1/1/1980,78,53.5021,132.113,385.8,1482.7
2/1/1980,79,53.5079,133.086,390.1,1494.6
3/1/1980,80.1,53.3284,134.115,388.4,1499.8
4/1/1980,80.9,52.2375,134.248,383.8,1502.2
5/1/1980,81.7,50.9676,134.692,384.8,1512.3
6/1/1980,82.5,50.3335,135.718,389.1,1529.2
7/1/1980,82.6,49.9417,136.828,394,1545.5
8/1/1980,83.2,50.1226,138.195,399.2,1561.5
9/1/1980,83.9,50.9338,139.363,404.8,1574
10/1/1980,84.7,51.5801,140.501,409,1584.8
11/1/1980,85.6,52.4731,141.763,410.7,1595.8
12/1/1980,86.4,52.7676,141.483,408.5,1599.8
1/1/1981,87.2,52.4688,140.88,411.3,1606.9
2/1/1981,88,52.2219,142.389,414.8,1618.7
3/1/1981,88.6,52.5009,143.278,419,1636.6
4/1/1981,89.1,52.2665,144.653,427.4,1659.2
5/1/1981,89.7,52.5783,145.223,424.7,1664.2
6/1/1981,90.5,52.8272,145.37,425.2,1670.3
7/1/1981,91.5,53.1722,146.519,426.9,1681.9
8/1/1981,92.2,53.1672,147.104,426.9,1694.3
9/1/1981,93.1,52.8548,147.54,427,1706
10/1/1981,93.4,52.4951,147.647,428.4,1721.8
11/1/1981,93.8,51.8972,148.72,431.3,1736.1
12/1/1981,94.1,51.3277,150.002,436.7,1755.5
1/1/1982,94.4,50.3077,150.825,442.7,1770.4
2/1/1982,94.7,51.2996,151.882,441.9,1774.5
3/1/1982,94.7,50.9105,152.092,442.7,1786.5
4/1/1982,95,50.459,153.415,447.1,1803.9
5/1/1982,95.9,50.1366,154.545,446.7,1815.4
6/1/1982,97,49.969,155.472,447.5,1826
7/1/1982,97.5,49.8127,156.2,448,1831.5
8/1/1982,97.7,49.378,157.422,451.4,1845.2
9/1/1982,97.7,49.2276,158.832,456.9,1858.4
10/1/1982,98.1,48.785,160.469,464.5,1869.7
11/1/1982,98,48.5953,161.788,471.5,1883.7
12/1/1982,97.7,48.2401,163.019,474.8,1905.9
1/1/1983,97.9,49.1748,163.623,477.2,1959.4
2/1/1983,98,48.8671,165.966,484.3,1996.8
3/1/1983,98.1,49.2655,167.892,490.6,2015.2
4/1/1983,98.8,49.8681,169.626,493.2,2028.6
5/1/1983,99.2,50.207,171.143,500,2043.1
6/1/1983,99.4,50.508,172.337,504,2053.5
7/1/1983,99.8,51.274,173.782,507.8,2064.8
8/1/1983,100.1,51.8458,175.233,510.5,2074
9/1/1983,100.4,52.6317,176.357,512.8,2083.2
10/1/1983,100.8,53.0647,178.345,517.2,2099.3
11/1/1983,101.1,53.2564,179.565,519,2112.3
12/1/1983,101.4,53.5313,180.178,521.4,2123.5
1/1/1984,102.1,54.5975,182.203,525.1,2138.2
2/1/1984,102.6,54.8377,182.993,527.5,2158.2
3/1/1984,102.9,55.1047,184.717,531.4,2175.2
4/1/1984,103.3,55.4593,186.015,535,2191.7
5/1/1984,103.5,55.7123,187.117,536.7,2204.1
6/1/1984,103.7,55.9079,188.185,540.2,2215.1
7/1/1984,104.1,56.0852,189.155,540.9,2223.5
8/1/1984,104.4,56.1353,189.457,541,2230.4
9/1/1984,104.7,56.034,190.575,543.1,2244.4
10/1/1984,105.1,55.9427,190.615,543.7,2258.9
11/1/1984,105.3,56.1631,192.062,547.5,2281.4
12/1/1984,105.5,56.2299,192.726,551.6,2306.4
1/1/1985,105.7,56.1365,193.789,557,2332.4
2/1/1985,106.3,56.3356,194.955,563.6,2354.1
3/1/1985,106.8,56.4232,196.346,566.6,2366.2
4/1/1985,107,56.2716,197.045,570.4,2375.4
5/1/1985,107.2,56.3525,198.914,575.1,2389.5
6/1/1985,107.5,56.3903,200.987,582.3,2412.6
7/1/1985,107.7,56.0242,202.507,589.1,2429.5
8/1/1985,107.9,56.2533,204.311,596.2,2444
9/1/1985,108.1,56.4939,206.303,603.3,2456.4
10/1/1985,108.5,56.261,207.45,607.8,2468
11/1/1985,109,56.4503,208.18,612.2,2477.8
12/1/1985,109.5,57.0454,211.081,619.8,2492.1
1/1/1986,109.9,57.3112,210.474,621.4,2502.1
2/1/1986,109.7,56.9304,211.126,625.2,2512.9
3/1/1986,109.1,56.5414,213.741,633.5,2533.1
4/1/1986,108.7,56.5654,215.304,641,2557.8
5/1/1986,109,56.685,217.379,652,2584.8
6/1/1986,109.4,56.4959,219.483,660.6,2605
7/1/1986,109.5,56.8096,221.32,670.3,2626.6
8/1/1986,109.6,56.7348,223.441,678.7,2646.5
9/1/1986,110,56.8483,224.95,687.4,2667.8
10/1/1986,110.2,57.1179,226.622,694.9,2687.4
11/1/1986,110.4,57.3826,229.329,705.4,2701.3
12/1/1986,110.8,57.8627,232.33,724.7,2728
1/1/1987,111.4,57.6873,233.828,730.2,2743.9
2/1/1987,111.8,58.4361,236.149,730.7,2747.5
3/1/1987,112.2,58.5202,235.28,733.8,2753.7
4/1/1987,112.7,58.8852,237.849,743.9,2767.7
5/1/1987,113,59.2656,241.161,745.8,2772.9
6/1/1987,113.5,59.5423,240.355,743.2,2774.6
7/1/1987,113.8,59.956,241.027,743,2779
8/1/1987,114.3,60.4517,243.026,744.9,2788.2
9/1/1987,114.7,60.6087,243.743,747.6,2799.5
10/1/1987,115,61.4886,247.094,756.2,2814.8
11/1/1987,115.4,61.8151,247.581,753.2,2818.9
12/1/1987,115.6,62.1113,248.728,750.2,2826.4
1/1/1988,116,62.1393,250.899,756.2,2847.4
2/1/1988,116.2,62.41,251.462,757.7,2870.4
3/1/1988,116.5,62.5464,251.793,761.8,2890.7
4/1/1988,117.2,62.8992,256.234,768.1,2910.7
5/1/1988,117.5,62.8182,256.663,771.7,2926
6/1/1988,118,62.9776,258.629,778.3,2938.4
7/1/1988,118.5,63.004,261.196,781.4,2947.2
8/1/1988,119,63.2781,261.709,783.3,2952
9/1/1988,119.5,63.108,262.919,783.7,2956.9
10/1/1988,119.9,63.4145,264.159,783.3,2965.3
11/1/1988,120.3,63.5171,265.708,784.9,2980.2
12/1/1988,120.7,63.8207,266.117,786.7,2988.2
1/1/1989,121.2,64.0114,267.336,785.7,2991.7
2/1/1989,121.6,63.7241,265.972,783.8,2992.2
3/1/1989,122.2,63.8694,268.272,783,2999.7
4/1/1989,123.1,63.9217,269.287,779.2,3006
5/1/1989,123.7,63.4806,269.808,775,3011.6
6/1/1989,124.1,63.5122,270.697,773.5,3027.9
7/1/1989,124.5,62.9479,271.983,777.8,3052.4
8/1/1989,124.5,63.5199,271.914,779.4,3074.4
9/1/1989,124.8,63.2966,272.604,781,3092.5
10/1/1989,125.4,63.2481,274.222,786.6,3114.1
11/1/1989,125.9,63.4576,275.032,787.9,3133.3
12/1/1989,126.3,63.8477,276.953,792.9,3152.5
1/1/1990,127.5,63.4171,278.594,795.4,3166.8
2/1/1990,128,64.0517,279.376,798.1,3179.2
3/1/1990,128.6,64.3607,281.84,801.5,3190.1
4/1/1990,128.9,64.2562,285.183,806.1,3201.6
5/1/1990,129.1,64.3971,286.238,804.2,3200.6
6/1/1990,129.9,64.6064,289.273,808.8,3213.7
7/1/1990,130.5,64.5289,290.586,810.1,3224.5
8/1/1990,131.6,64.7258,293.961,815.7,3242
9/1/1990,132.5,64.8148,297.191,820.2,3254.6
10/1/1990,133.4,64.3264,298.746,819.9,3259.3
11/1/1990,133.7,63.5713,300.742,822.1,3262.6
12/1/1990,134.2,63.1589,304.07,824.7,3271.8
1/1/1991,134.7,62.8801,306.308,827.2,3287.7
2/1/1991,134.8,62.452,309.768,832.6,3304.5
3/1/1991,134.8,62.12,312.609,838.7,3321.9
4/1/1991,135.1,62.25,313.545,843.1,3332.4
5/1/1991,135.6,62.8714,315.559,848.8,3343
6/1/1991,136,63.4441,316.904,856.7,3351.9
7/1/1991,136.2,63.5106,319.196,861.6,3356.1
8/1/1991,136.6,63.5623,320.501,866.8,3355
9/1/1991,137,64.1234,322.32,869.7,3354.9
10/1/1991,137.2,64.0179,324.084,878,3360.1
11/1/1991,137.8,63.9427,326.8,887.6,3365.5
12/1/1991,138.2,63.6923,330.553,897,3372.2
1/1/1992,138.3,63.3372,331.412,910.4,3381.2
2/1/1992,138.6,63.7864,333.981,925.2,3400
3/1/1992,139.1,64.3199,337.468,936.7,3403.9
4/1/1992,139.4,64.8069,340.151,943.8,3399.7
5/1/1992,139.7,65.0202,343.243,950.6,3398.6
6/1/1992,140.1,65.0309,344.452,954.3,3393.4
7/1/1992,140.5,65.6155,347.575,963.3,3393.9
8/1/1992,140.8,65.2948,351.806,973.7,3398.8
9/1/1992,141.1,65.4461,356.183,988,3410.3
10/1/1992,141.7,65.9387,359.975,1003.7,3423.8
11/1/1992,142.1,66.2219,363.722,1015.7,3426.5
12/1/1992,142.3,66.2778,365.544,1024.9,3424.7
1/1/1993,142.8,66.565,368.084,1030.4,3419.1
2/1/1993,143.1,66.8562,371.289,1033.5,3414.5
3/1/1993,143.3,66.7661,373.391,1038.4,3411.7
4/1/1993,143.8,66.9976,376.826,1047.6,3411.3
5/1/1993,144.2,66.7645,380.84,1065.9,3436.9
6/1/1993,144.3,66.8782,384.829,1075.1,3442.4
7/1/1993,144.5,67.0843,387.72,1084.6,3442
8/1/1993,144.8,67.0144,391.204,1094.2,3445.7
9/1/1993,145,67.3337,396.451,1104.2,3452.2
10/1/1993,145.6,67.8513,400.929,1113.1,3456.7
11/1/1993,146,68.1384,402.665,1124.1,3470.1
12/1/1993,146.3,68.5029,405.32,1129.6,3474.5
1/1/1994,146.3,68.7602,409.033,1131.6,3474.9
2/1/1994,146.7,68.7808,413.183,1136.3,3475.7
3/1/1994,147.1,69.4762,415.647,1140.1,3480.1
4/1/1994,147.2,69.8715,418.864,1141.1,3481.3
5/1/1994,147.5,70.2259,420.63,1143.3,3490.8
6/1/1994,147.9,70.6759,423.468,1145.2,3479.5
7/1/1994,148.4,70.7851,427.291,1150.7,3488.2
8/1/1994,149,71.2069,428.248,1150.6,3485.7
9/1/1994,149.3,71.4768,430.036,1151.9,3486.1
10/1/1994,149.4,72.0827,432.825,1150.2,3484.3
11/1/1994,149.8,72.5328,434.594,1150.9,3487.2
12/1/1994,150.1,73.2862,434.788,1150.7,3486.4
1/1/1995,150.5,73.4173,437.433,1151.4,3492.4
2/1/1995,150.9,73.3112,438.536,1147.4,3489.9
3/1/1995,151.2,73.4086,442.55,1146.7,3491.1
4/1/1995,151.8,73.3603,445.738,1149.3,3499.2
5/1/1995,152.1,73.6079,448.642,1145.3,3524.2
6/1/1995,152.4,73.8595,448.699,1144.2,3548.9
7/1/1995,152.6,73.5675,449.192,1145.5,3567.4
